brand,title,url,review_count,current_price
Апрель,Футболка женская белая базовая однотонная хлопок 100%,https://www.wildberries.ru/catalog/30143139/detail.aspx,15420,576
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/32794138/detail.aspx,12944,746
ТИО,Футболка большого размера,https://www.wildberries.ru/catalog/33947311/detail.aspx,28798,502
ООО ВЕГА,Футболка белая хлопковая с принтом оверсайз,https://www.wildberries.ru/catalog/35876961/detail.aspx,28836,820
ТИО,Футболка большого размера,https://www.wildberries.ru/catalog/28293538/detail.aspx,28798,502
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/15061503/detail.aspx,18014,971
ChristianGenerale Collection,Футболка женская Больших размеров,https://www.wildberries.ru/catalog/34010460/detail.aspx,7983,800
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/35688904/detail.aspx,12944,896
Annemore,Футболка базовая хлопковая,https://www.wildberries.ru/catalog/12104185/detail.aspx,21331,1356
UZcotton,Футболка оверсайз хлопок однотонная базовая,https://www.wildberries.ru/catalog/15096631/detail.aspx,32767,430
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/15061497/detail.aspx,18014,971
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/86869673/detail.aspx,12944,896
KODA,Топ женский одежда спортивная без рукавов кроп майка белый,https://www.wildberries.ru/catalog/15512025/detail.aspx,12132,445
Апрель,Футболка женская черная базовая однотонная хлопок 100%,https://www.wildberries.ru/catalog/30149722/detail.aspx,15420,556
ТИО,Футболка оверсайз,https://www.wildberries.ru/catalog/17036834/detail.aspx,7692,470
Queens Top,Топ на бретелях,https://www.wildberries.ru/catalog/68198417/detail.aspx,3912,729
CumAMORE,Топ женский трикотажный спортивный,https://www.wildberries.ru/catalog/77007541/detail.aspx,3055,765
ЭЛИЗА,Футболка оверсайз однотонная спортивная с принтом хлопок,https://www.wildberries.ru/catalog/25719559/detail.aspx,9962,591
Triviaa,Топ,https://www.wildberries.ru/catalog/29142709/detail.aspx,1519,1270
KODA,Топ женский одежда спортивная без рукавов кроп майка белый,https://www.wildberries.ru/catalog/15512029/detail.aspx,12132,416
ТИО,Футболка большого размера,https://www.wildberries.ru/catalog/42158791/detail.aspx,28798,462
Telle Quelle,Кроп топ укороченный под пиджак,https://www.wildberries.ru/catalog/34146829/detail.aspx,7804,756
FRIDAY SHOP 2018,Топ спортивный кроп топ вечерний топ,https://www.wildberries.ru/catalog/63006268/detail.aspx,2542,1426
ТИО,Футболка большого размера,https://www.wildberries.ru/catalog/28293046/detail.aspx,28798,438
ChristianGenerale Collection,Футболка женская Больших размеров,https://www.wildberries.ru/catalog/34010684/detail.aspx,7983,897
Фосфор,Футболка светящаяся оверсайз с кошкой,https://www.wildberries.ru/catalog/24711476/detail.aspx,21266,717
Annemore,Футболка базовая хлопковая,https://www.wildberries.ru/catalog/12104188/detail.aspx,21331,1396
memes by CoLepen,Футболка с наклейками Майка с принтом,https://www.wildberries.ru/catalog/97172288/detail.aspx,3388,1120
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/33562590/detail.aspx,12944,896
Telle Quelle,Кроп топ укороченный под пиджак,https://www.wildberries.ru/catalog/34147359/detail.aspx,7804,756
brand,title,url,review_count,current_price
Апрель,Футболка женская белая базовая однотонная хлопок 100%,https://www.wildberries.ru/catalog/30143139/detail.aspx,15420,576
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/32794138/detail.aspx,12944,746
ТИО,Футболка большого размера,https://www.wildberries.ru/catalog/33947311/detail.aspx,28798,502
ООО ВЕГА,Футболка белая хлопковая с принтом оверсайз,https://www.wildberries.ru/catalog/35876961/detail.aspx,28836,820
ТИО,Футболка большого размера,https://www.wildberries.ru/catalog/28293538/detail.aspx,28798,502
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/15061503/detail.aspx,18014,971
ChristianGenerale Collection,Футболка женская Больших размеров,https://www.wildberries.ru/catalog/34010460/detail.aspx,7983,800
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/35688904/detail.aspx,12944,896
Annemore,Футболка базовая хлопковая,https://www.wildberries.ru/catalog/12104185/detail.aspx,21331,1356
UZcotton,Футболка оверсайз хлопок однотонная базовая,https://www.wildberries.ru/catalog/15096631/detail.aspx,32767,430
Ticle,Футболка женская оверсайз,https://www.wildberries.ru/catalog/15061497/detail.aspx,18014,971
neprosto,Футболка самолёт корона женская хлопок,https://www.wildberries.ru/catalog/86869673/detail.aspx,12944,896
